message_id,date,time,utc,from_name,text,clean_text,word_count
message1850,1.1.2025,22:06:03,UTC+01:00,Jorge Buxadé 🇪🇸,"#Programa1Minuto
Tarjeta sanitaria única, igual cartera de servicios, licencia de caza única, la cita previa un derecho y no un deber.
Pondremos al Estado al servicio de España y garantía de la seguridad y libertad de los españoles.",programa1minuto tarjeta sanitaria única igual cartera de servicios licencia de caza única la cita previa un derecho y no un deber pondremos al estado al servicio de españa y garantía de la seguridad y libertad de los españoles,38
message1851,1.1.2025,22:07:11,UTC+01:00,,"Frente a su odio y su blasfemia, amor, belleza y verdad. Un grande 2025 para todos vosotros
#SagradoCorazón
#CerroDeLosÁngeles",frente a su odio y su blasfemia amor belleza y verdad un grande 2025 para todos vosotros sagradocorazón cerrodelosángeles,19
message342,1.12.2020,22:23:11,UTC+01:00,Jorge Buxadé 🇪🇸,"‼️Frente al Gobierno que atenta contra el orden constitucional, el pueblo español se defenderá.
VOX leerá
un manifiesto y los artículos de la Constitución amenazados por el Gobierno
de Pedro Sánchez, Pablo Iglesias y Arnaldo Otegi.
🗓 Domingo 6 de diciembre.
⏰ 12:00 horas.
📍 Frente a los ayuntamientos de toda España.
🗣️ Santiago Abascal desde  Barcelona.
🗣️ Javier Ortega desde Madrid.
🔃
https://twitter.com/vox_es/status/1333503704272674816",frente al gobierno que atenta contra el orden constitucional el pueblo español se defenderá vox leerá un manifiesto y los artículos de la constitución amenazados por el gobierno de pedro sánchez pablo iglesias y arnaldo otegi domingo 6 de diciembre 12:00 horas frente a los ayuntamientos de toda españa santiago abascal desde barcelona javier ortega desde madrid,57
message1960,1.2.2025,20:55:24,UTC+01:00,Jorge Buxadé 🇪🇸,"🔴 Bajo investigación la INJERENCIA DE LOS BURÓCRATAS DE LA COMISIÓN VON DER LEYEN en las elecciones británicas en favor del partido laborista (socialista).
Hungría, Polonia, Rumanía (con golpe constitucional), Reino Unido, Alemania. Permanente injerencia antidemocrática.",bajo investigación la injerencia de los burócratas de la comisión von der leyen en las elecciones británicas en favor del partido laborista socialista hungría polonia rumanía con golpe constitucional reino unido alemania permanente injerencia antidemocrática,35
message2045,1.3.2025,10:04:30,UTC+01:00,Jorge Buxadé 🇪🇸,"Jornada ayer en el Pulgar con afectados por la creciente delincuencia (robos y ocupaciones ilegales) en los municipios Montes de Toledo.
@MariscalZabala
👍🏻 Compromiso acciones conjuntas de
@Vox_Toledo
en municipios para pedir más 👮 y controlar empadronamientos ilegales.
Después, visita a ganadería, modelo de gestión, explotación y exportación. Problemas y riesgos.
❌ Mercosur
❌ gestión del agua
❌ costes de la energía
Todo lo que denunciamos, porque la gran coalición socialista, verde y popular lo ha colapsado.",jornada ayer en el pulgar con afectados por la creciente delincuencia robos y ocupaciones ilegales en los municipios montes de toledo mariscalzabala compromiso acciones conjuntas de vox_toledo en municipios para pedir más y controlar empadronamientos ilegales después visita a ganadería modelo de gestión explotación y exportación problemas y riesgos mercosur gestión del agua costes de la energía todo lo que denunciamos porque la gran coalición socialista verde y popular lo ha colapsado,72
message102,1.5.2020,10:41:27,UTC+01:00,Jorge Buxadé 🇪🇸,"El Gobierno prevé ya oficialmente un hundimiento económico del 9.2% este año y una recuperación del 6.8% en 2021. La tasa de paro no bajará del 17,2% ni el año que viene y subirá  al 19% en 2020 (sin contar los ERTE). Desastre","el gobierno prevé ya oficialmente un hundimiento económico del 9.2 este año y una recuperación del 6.8 en 2021 la tasa de paro no bajará del 17,2 ni el año que viene y subirá al 19 en 2020 sin contar los erte desastre",43
message106,1.5.2020,12:53:57,UTC+01:00,Jorge Buxadé 🇪🇸,"🛠🇪🇸 Hoy es
#1deMayo
y millones de españoles están en sus casas sin saber
si podrán volver a trabajar
.
📢
#EspañaQuiereTrabajar
y tener un sueldo digno
, no paguitas ni cartillas de racionamiento como propone el Gobierno.
https://www.youtube.com/watch?v=zhjaAlLLb3w&feature=youtu.be",hoy es 1demayo y millones de españoles están en sus casas sin saber si podrán volver a trabajar españaquieretrabajar y tener un sueldo digno no paguitas ni cartillas de racionamiento como propone el gobierno,34
message2321,1.5.2025,21:41:04,UTC+01:00,Jorge Buxadé 🇪🇸,"El modelo de SÁNCHEZ es el del PARTIDO COMUNISTA CHINO ☭
https://x.com/vox_es/status/1917943955330662897?s=46&t=7SQaDbgJ1EPSiyVwfE44uQ",el modelo de sánchez es el del partido comunista chino,10
message2320,1.5.2025,14:09:06,UTC+01:00,Jorge Buxadé 🇪🇸,"Líderes en pobreza infantil.
Líderes en paro juvenil.
El peor gobierno de la historia de España
@PSOE
Hay que reconstruir todo lo destruido por el bipartidismo. Por eso quieren matar a VOX y eliminar toda Alternativa
#1DeMayo
#1DeMayoEnLaCalle
#1DeMayoUnitario",líderes en pobreza infantil líderes en paro juvenil el peor gobierno de la historia de españa psoe hay que reconstruir todo lo destruido por el bipartidismo por eso quieren matar a vox y eliminar toda alternativa 1demayo 1demayoenlacalle 1demayounitario,39
message180,1.6.2020,22:20:05,UTC+01:00,Jorge Buxadé 🇪🇸,"💚 Hoy he comparecido en la Comisión de “Reconstrucción Nacional” en el Congreso de los Diputados para hablar de las acciones de la UE en la crisis del Coronavirus de Wuhan
Aquí un breve hilo de algunos momentos
Gracias a Iván Espinosa y Carlos Fernández-Roca y Ricardo Chamorro por acompañarme y a los 52 de Vox por su confianza.
Y recuerdos a Pisarello, que se ha ido de la Comisión para no escuchar mi contestación a sus inicuas preguntas
https://twitter.com/vox_europa_/status/1267486810441224192?s=21",hoy he comparecido en la comisión de reconstrucción nacional en el congreso de los diputados para hablar de las acciones de la ue en la crisis del coronavirus de wuhan aquí un breve hilo de algunos momentos gracias a iván espinosa y carlos fernández-roca y ricardo chamorro por acompañarme y a los 52 de vox por su confianza y recuerdos a pisarello que se ha ido de la comisión para no escuchar mi contestación a sus inicuas preguntas,78
